rank,symbol,name,market,industry,idea_score,rank_score,confidence_score,risk_adjusted_score,buying_tier,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_volatility_pct,recommendation,risk_score,research_action_view,action,thesis_summary,catalyst_notes,data_quality_flags,ret_20d,rel_to_taiex_20d,rel_to_sector_20d,rel_to_industry_20d
1,8271,宇瞻,TWSE,半導體業,77.48,66.94,86.4,66.24,not_buyable,2.2946,3.4704,-37.6499,66.3734,持有,95.0,降風險,Overweight,宇瞻 屬於 high 動能 / high 基本面組合，估值區間偏 cheap。,20 日相對題材強勢,missing:quality_score / extreme-volatility / quality:previous_period_unavailable,59.45017182130585,34.285147289823236,24.337731161625435,17.69051767508826
2,3017,奇鋐,TWSE,電腦及週邊設備業,77.8,63.95,82.2,66.5,not_buyable,2.6363,4.388,-40.8854,58.0196,持有,83.04,降風險,Neutral,奇鋐 屬於 high 動能 / high 基本面組合，估值區間偏 cheap。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,30.676328502415462,5.511303970932847,-4.4361121572649544,14.021052689401817
3,8046,南電,TWSE,電子零組件業,77.67,63.84,82.2,61.51,not_buyable,2.7107,4.9462,-46.9896,71.0543,持有,83.04,降風險,Overweight,南電 屬於 high 動能 / mid 基本面組合，估值區間偏 cheap。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,75.5281690140845,50.36314448260188,40.41572835440408,23.28641415715954
4,2337,旺宏,TWSE,半導體業,73.18,63.23,86.4,71.09,not_buyable,2.881,4.8145,-27.8125,73.4925,持有,91.7,降風險,Neutral,旺宏 屬於 high 動能 / high 基本面組合，估值區間偏 expensive。,等待下一個基本面或事件催化。,missing:quality_score / extreme-volatility / quality:previous_period_unavailable,33.33333333333333,8.168308801850714,-1.7791073263470878,-8.426320812884263
5,2451,創見,TWSE,半導體業,76.43,62.83,82.2,69.52,not_buyable,1.9572,3.0275,-32.6954,60.5766,賣出,95.0,賣出/移出觀察,Neutral,創見 屬於 mid 動能 / high 基本面組合，估值區間偏 cheap。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,21.459227467811147,-3.7057970636714685,-13.65321319186927,-20.300426678406446
6,8996,高力,TWSE,電機機械,73.91,60.75,82.2,60.71,not_buyable,1.9696,3.4872,-47.8659,71.6082,持有,95.0,降風險,Overweight,高力 屬於 high 動能 / high 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,37.413394919168596,12.24837038768598,2.3009542594881793,0.0
7,4967,十銓,TWSE,半導體業,73.86,60.71,82.2,69.97,not_buyable,2.2629,3.8535,-33.2613,59.5482,持有,95.0,降風險,Overweight,十銓 屬於 high 動能 / high 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,38.27751196172249,13.112487430239874,3.1650713020420724,-3.4821421844951033
8,3189,景碩,TWSE,半導體業,73.83,60.69,82.2,63.6,not_buyable,2.3974,3.9893,-42.8037,66.9598,持有,89.52,降風險,Overweight,景碩 屬於 high 動能 / mid 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,56.845238095238095,31.68021356375548,21.73279743555768,15.085583949020503
9,3260,威剛,TPEx,半導體業,69.65,57.25,82.2,66.96,not_buyable,2.4768,3.6849,-36.1905,66.4223,賣出,95.0,賣出/移出觀察,Neutral,威剛 屬於 high 動能 / high 基本面組合，估值區間偏 neutral。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / extreme-volatility / quality:previous_period_unavailable,23.928077455048413,-1.2369470764342019,-11.184363204632003,-17.83157669116918
10,3037,欣興,TWSE,電子零組件業,65.98,57.01,86.4,61.77,tactical_buy,2.8615,4.9174,-46.4639,67.2369,持有,70.04,降風險,Neutral,欣興 屬於 high 動能 / mid 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:previous_period_unavailable,73.98843930635839,48.82341477487577,38.87599864667797,21.74668444943343
