rank,symbol,name,market,industry,idea_score,rank_score,confidence_score,risk_adjusted_score,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_volatility_pct,recommendation,risk_score,research_action_view,action,thesis_summary,catalyst_notes,data_quality_flags,ret_20d,rel_to_taiex_20d,rel_to_sector_20d,rel_to_industry_20d
1,8271,宇瞻,TWSE,半導體業,77.45,66.92,86.4,66.26,2.2343,3.379,-37.6499,66.2993,持有,95.0,降風險,Overweight,宇瞻 屬於 mid 動能 / high 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / extreme-volatility / quality:previous_period_unavailable,69.23076923076923,46.5228214616592,36.90257887590954,34.051220055100906
2,2337,旺宏,TWSE,半導體業,77.3,66.79,86.4,71.09,2.6223,4.4519,-27.8125,74.7476,持有,85.78,降風險,Overweight,旺宏 屬於 high 動能 / high 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / extreme-volatility / quality:previous_period_unavailable,33.33333333333333,10.6253855642233,1.0051429784736428,-1.846215842334992
3,4967,十銓,TWSE,半導體業,76.13,62.58,82.2,68.8,2.0784,3.5774,-33.2613,64.7575,持有,95.0,降風險,Overweight,十銓 屬於 mid 動能 / high 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,41.20603015075377,18.49808238164374,8.877839795894083,6.026480975085448
4,3260,威剛,TPEx,半導體業,75.29,61.89,82.2,66.95,2.489,3.7061,-36.1905,66.4781,持有,95.0,降風險,Neutral,威剛 屬於 high 動能 / high 基本面組合，估值區間偏 neutral。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / extreme-volatility / quality:previous_period_unavailable,30.149253731343272,7.441305962233244,-2.178936623516414,-5.0302954443250485
5,2451,創見,TWSE,半導體業,69.85,57.42,82.2,66.23,1.7936,2.7633,-32.6954,60.1698,賣出,92.85,賣出/移出觀察,Neutral,創見 屬於 mid 動能 / high 基本面組合，估值區間偏 cheap。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,19.66824644549763,-3.039701323612398,-12.659943909362056,-15.51130273017069
6,3017,奇鋐,TWSE,電腦及週邊設備業,69.05,56.76,82.2,66.41,2.6747,4.4828,-41.1917,57.739,持有,77.11,降風險,Neutral,奇鋐 屬於 high 動能 / high 基本面組合，估值區間偏 expensive。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,42.462311557788944,19.754363788678916,10.134121202929258,24.662622164797348
7,6274,台燿,TPEx,電子零組件業,68.67,56.45,82.2,69.07,2.8543,4.5926,-34.6369,60.4865,持有,95.0,降風險,Neutral,台燿 屬於 high 動能 / high 基本面組合，估值區間偏 expensive。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,77.50439367311073,54.7964459040007,45.17620331825104,21.305425327167654
8,2356,英業達,TWSE,電腦及週邊設備業,68.13,56.0,82.2,35.38,0.0546,0.0815,-30.7457,36.9355,持有,66.52,降風險,Neutral,英業達 屬於 low 動能 / high 基本面組合，估值區間偏 cheap。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,14.606741573033721,-8.101206196076307,-17.721448781825963,-3.1929478199578742
9,8996,高力,TWSE,電機機械,67.8,55.73,82.2,61.07,2.0224,3.56,-47.8659,71.4636,持有,95.0,降風險,Neutral,高力 屬於 high 動能 / high 基本面組合，估值區間偏 expensive。,20 日相對題材強勢,missing:quality_score / quality:unavailable / extreme-volatility / quality:previous_period_unavailable,47.75413711583924,25.046189346729214,15.425946760979556,0.0
10,6147,頎邦,TPEx,半導體業,64.1,54.61,85.2,75.53,1.8609,3.0354,-23.696,48.9026,持有,95.0,降風險,Neutral,頎邦 屬於 high 動能 / low 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / extreme-volatility / quality:partial_current_metrics / quality:previous_period_unavailable,134.53237410071944,111.8244263316094,102.20418374585975,99.35282492505112
11,4919,新唐,TWSE,半導體業,66.09,54.33,82.2,42.89,1.0553,1.7354,-49.6461,59.3616,持有,95.0,降風險,Neutral,新唐 屬於 high 動能 / low 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:unavailable / extreme-volatility / quality:previous_period_unavailable,65.73033707865167,43.022389309541644,33.40214672379199,30.550787902983352
